#
# This data is provided by behindthename.com and is licensed under CC BY-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/4.0
#
# Given names, their genders and synonyms, exported from the behindthename.com database.
# Sun, 25 Apr 2021 23:47:57 -0700
#
# name	gender	related
Aabraham	m	Aapo
Aada	f	Ada
Aadan	m	
Aadolf	m	Aatto,Aatu,Atte
Aafje	f	
Aage	m	Åge
Aali	m	
Aalis	f	
Aaliyah	f	Alaiya,Alaya,Alayah,Aleah
Aamadu	m	
Aamina	f	Aaminah,Amina,Aminah
Aaminah	f	Aamina,Amina,Aminah
Aaminata	f	
'Aamir	m	Aamir
Aamir	m	'Aamir,Amir
Aamu	f	
Aang	m	
Aapeli	m	
Aapo	m	
Aaren	mf	Aaron,Arron
Aarne	m	
Aaro	m	Aaron
Aarón	m	
Aaron	m	Aaro,Arron
Aart	m	Arno,Arnold,Arnoud,Arnout,Noud
Aarthi	f	
Aarti	f	Arati,Arti
Aase	f	
Aatami	m	
Aatos	m	
Aatto	m	
Aatu	m	
Aava	f	
Abacuc	m	Habacuc
Abaddon	m	
Abbán	m	
'Abbas	m	Abbas
Abbas	m	'Abbas
Abbe	m	Aldert
Abbey	f	Abbi,Abbie,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle
Abbi	f	Abbey,Abbie,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle
Abbie	f	Abbey,Abbi,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle
Abby	f	Abbey,Abbi,Abbie,Abigail,Abigayle,Gail,Gale,Gayla,Gayle
Abd al-Aziz	m	Abdelaziz,Abdul-Aziz
Abd al-Hamid	m	Abdelhamid,Abdul-Hamid
Abd al-Kader	m	Abd al-Qadir,Abdelkader
Abd al-Karim	m	
Abd Allah	m	Abdulla,Abdullah
Abd al-Latif	m	Abdellatif
Abd al-Majid	m	Abdelmajid
Abd al-Malik	m	
Abd al-Qadir	m	Abd al-Kader,Abdelkader
Abd al-Rahim	m	Abd al-Rahman,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul-Rahman,Abdur-Rahim,Abdur-Rahman
Abd al-Rahman	m	Abd al-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul-Rahman,Abdur-Rahim,Abdur-Rahman
Abd al-Rashid	m	Abdur-Rashid
Abd al-Wali	m	
Abd ar-Rahman	m	Abd al-Rahim,Abd al-Rahman,Abderrahim,Abderrahmane,Abdul-Rahman,Abdur-Rahim,Abdur-Rahman
Abdelaziz	m	Abd al-Aziz,Abdul-Aziz
Abdelhamid	m	Abd al-Hamid,Abdul-Hamid
Abdelkader	m	Abd al-Kader,Abd al-Qadir
Abdellatif	m	Abd al-Latif
Abdelmajid	m	Abd al-Majid
Abderrahim	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahman,Abderrahmane,Abdul-Rahman,Abdur-Rahim,Abdur-Rahman
Abderrahmane	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahman,Abderrahim,Abdul-Rahman,Abdur-Rahim,Abdur-Rahman
Abdias	m	
Abdiel	m	
Abdiou	m	
Abdolhossein	m	
Abdollah	m	
Abdolreza	m	
Abdou	m	
Abdoul	m	
Abdoulaye	m	
Abduh	m	Abdul
Abdul	m	Abduh
Abdulah	m	
Abdul-Aziz	m	Abd al-Aziz,Abdelaziz
Abdul-Hamid	m	Abd al-Hamid,Abdelhamid
Abdülhamit	m	
Abdülkadir	m	
Abdülkerim	m	
Abdulla	m	Abd Allah,Abdullah,Abdullo
Abdullaahi	m	
Abdullah	m	Abd Allah,Abdulla
Abdüllatif	m	
Abdullo	m	Abdulla
Abdullohi	m	
Abdul-Rahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdur-Rahim,Abdur-Rahman
Abdurakhman	m	
Abdur-Rahim	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul-Rahman,Abdur-Rahman
Abdur-Rahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul-Rahman,Abdur-Rahim
Abdur-Rashid	m	Abd al-Rashid
Abduweli	m	
Abe	m	Abraham,Aldert,Bram
Abeba	f	
Abednego	m	
Abegail	f	Abbey,Abbi,Abbie,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle
Ábel	m	
Abel	m	
Abele	m	
Abelone	f	Lone
Abena	f	
Abene	f	
Abeni	f	
Abenner	m	
Aberash	f	
Abessa	m	
Abessalom	m	
Abha	f	
Abhay	m	
Abhijeet	m	Abhijit
Abhijit	m	Abhijeet
Abhilash	m	
Abhilasha	f	
Abhinav	m	
Abhishek	m	
Abi	f	
Abia	mf	
Abiah	mf	Abijah
Abiathar	m	
Abidan	m	
Abidemi	m	
Abiel	m	
Abigaia	f	
Abigaíl	f	
Abigaïl	f	
Abigail	f	Abbey,Abbi,Abbie,Abby,Abigayle,Gail,Gale,Gayla,Gayle
Abigayle	f	Abbey,Abbi,Abbie,Abby,Abigail,Gail,Gale,Gayla,Gayle
Abigél	f	
Abihu	m	
Abijah	mf	Abiah
Abilene	f	
Abílio	m	
Abilio	m	
Abimael	m	
Abimbola	mf	
Abimelech	m	
Abiodun	mf	
Abioye	m	
Abiram	m	
Abisai	m	
Abishag	f	
Abishai	m	
Abital	f	
'Abla	f	
Abner	m	
Abolfazl	m	
Abosede	f	Bose,Bosede
Aboubacar	m	Boubacar
Abraam	m	Abram
Abraão	m	
Ábrahám	m	
Abraham	m	Abe,Avi,Avraham,Braam,Bram
Abram	m	Abraam
Abramo	m	
Abrar	m	
Abrasha	m	Abram
Abril	f	
Absalom	m	
Abu	m	
Abu al-Fadl	m	Abul-Fazl
Abubakar	m	
Abu Bakr	m	
Abul-Fazl	m	Abu al-Fadl
Aca	m	Ace,Aco,Aleksandar,Saša,Sasho,Saško,Sašo
Acacia	f	
Acacius	m	Akakios
Acantha	f	Akantha
Ace	m	Aca,Aco,Aleksandar,Sasho,Saško,Sašo
Achaab	m	
Achab	m	Ahab
Achaicus	m	
Achaikos	m	
Achan	m	
Achard	m	
'Ach'av	m	
Acheloios	m	Achelous
Achelous	m	Acheloios
Achieng	f	
Achille	m	
Achilleas	m	
Achilles	m	Achilleus
Achilleus	m	Achilles
Achim	m	Jo,Joachim,Jochen,Jockel
Achinoam	f	
Acke	m	Axel
Aco	m	Aca,Ace,Aleksandar,Saša,Sasho,Saško,Sašo
Ad	m	Adriaan,Arie,Aris,Arjan
Ada	f	Aada,Adalheidis,Adaline,Adalyn,Adalynn,Addilyn,Adela,Adelais,Adelajda,Adelheid,Adelia,Adelina,Adeline,Adella,Adelyn,Adelynn,Alda
Adad	m	
Adad-Nirari	m	
Adaeze	f	
Adah	f	
Adair	mf	
Adalberht	m	Adalbert,Albert,Albertus
Adalbern	m	
Adalbert	m	Adalberht,Adelbert,Albert,Albertus,Albrecht
Adalberto	m	Alberto
Adalet	f	
Adalfarus	m	
Adalfuns	m	Alfons
Adalgard	f	
Adalhard	m	Alard
Adalheidis	f	Ada,Adelais
Adalia	m	Adlai
Adaline	f	Ada,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Aline
Adallindis	f	
Adalwin	m	Alwin
Adalwolf	m	Adolf,Adolphus
'Adalya'	m	Adlai
Adalyn	f	Adaline,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Alene,Aline
Adalynn	f	Adaline,Adalyn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Alene,Aline
Ádám	m	
Adam	m	
Adamina	f	
Adamo	m	
Adamou	m	
Adamu	m	
Adán	m	
Adanna	f	
Adannaya	f	
Adão	m	
Adara	f	
Adde	m	Aldert
Addie	f	Adaline,Adalyn,Adalynn,Addilyn,Addison,Addy,Addyson,Adela,Adelaide,Adelia,Adeline,Adella,Adelyn,Adelynn,Alene,Aline,Della
Addilyn	f	Adaline,Adalyn,Adalynn,Addie,Addy,Adeline,Adelyn,Adelynn,Alene,Aline
Addison	fm	Addie,Addy,Addyson
Addy	fm	Adaline,Adalyn,Adalynn,Addie,Addilyn,Addison,Addyson,Adela,Adelaide,Adelia,Adeline,Adella,Adelyn,Adelynn,Alene,Aline,Della
Addyson	f	Addie,Addison,Addy
Ade	mf	Adebola,Adebowale,Adegoke,Adetokunbo
Adebayo	m	
Adebola	mf	Ade
Adebowale	mf	Ade
Adedayo	mf	
Adegoke	m	Ade
Adél	f	
Adel	m	Adil
Adéla	f	
Adela	f	Ada,Adelia,Adelina,Adelita,Adella,Alda,Delia,Della
Adelaida	f	
Adélaïde	f	
Adelaide	f	Addie,Addy,Della
Adelais	f	Ada,Adalheidis
Adelajda	f	Ada
Adélard	m	
Adelardo	m	
Adelbert	m	Adalbert,Albert,Albrecht,Elbert
Adèle	f	Adélie
Adele	f	Adelle
Adelė	f	
Adelheid	f	Ada,Aleid,Aleida,Alida,Elke,Heida,Heide,Heidi
Adelia	f	Adela,Adelita,Adella,Delia,Della
Adélie	f	Adèle
Adelina	f	Ada,Adela,Alda,Alina,Aline
Adeline	f	Ada,Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adelyn,Adelynn,Alene,Aline,Lina,Line,Lyna
Adelita	f	Adela,Adelia,Adelina
Adella	f	Adela,Adelia,Delia,Della
Adelle	f	Adele
Adelmar	m	Almir,Almiro
Adelyn	f	Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelynn,Alene,Aline
Adelynn	f	Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Alene,Aline
Adem	m	
Ademar	m	Ademir
Ademaro	m	
Ademir	m	Ademar
Aden	m	Aidan,Aiden,Aydan,Ayden
Adena	f	
Adenike	f	
Adeodatus	m	Deodatus
Aderyn	f	
Adetokunbo	mf	Ade
Ádhamh	m	
Adhara	f	
Adhiambo	f	
Adi	fm	Adolf,Adrian
Adil	m	Adel
Adila	f	
Adile	f	
Adilet	m	
Adin	m	
Adina	mf	
'Adinah	m	
Adino	m	
Adir	m	
Adisa	m	
Aditi	f	
Aditya	m	
Adjoa	f	Adwoa
Adlai	m	Adalia,'Adalya'
Admir	m	
Adna	f	
Adnan	m	
Adolf	m	Adalwolf,Adi,Adolphus,Alf
Adolfito	m	Adolfo,Fito
Adolfo	m	
Adolph	m	Dolph
Adolphe	m	
Adolphus	m	Adalwolf,Adolf
Adomas	m	
Adonai	m	
Adone	m	
Adonijah	m	
Adoniram	m	
Adonis	m	
